csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,20,"Query{rect=(-74.00064..-73.97734),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,24428,21598,6968,6355,0,543923,7.304833084,"{null=Stats{count=16894723, mean=11.634396326606081, populationStandardDeviation=7.659441503461037, min=0.0, max=400.0}}",1.9655990321022728E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,21,"Query{rect=(-74.00064..-73.97734),(40.718655..40.736134), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,25244,22210,7504,7086,0,900905,9.00944525,"{null=Stats{count=18141807, mean=11.47371011169059, populationStandardDeviation=7.598116863657782, min=0.0, max=400.0}}",2.0815383442023912E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,22,"Query{rect=(-74.00064..-73.97734),(40.7204..40.73788), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,26076,22834,7421,7018,0,2663305,16.154585733,"{null=Stats{count=19044379, mean=11.31057886793252, populationStandardDeviation=7.5658477856684385, min=0.0, max=400.0}}",2.1540295067029786E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,23,"Query{rect=(-74.00297..-73.97967),(40.72215..40.739628), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,27348,23788,8228,7961,0,4574725,23.583966665,"{null=Stats{count=21275677, mean=11.16369084378736, populationStandardDeviation=7.570987021283242, min=0.0, max=400.0}}",2.3751508052027735E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,24,"Query{rect=(-74.00297..-73.97967),(40.723896..40.741375), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,28044,24310,8495,8194,0,4462807,22.576600941,"{null=Stats{count=22139471, mean=11.03670963368231, populationStandardDeviation=7.556893512871973, min=0.0, max=400.0}}",2.4434691287033013E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,25,"Query{rect=(-74.00064..-73.97734),(40.725643..40.743122), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,28712,24811,7164,6786,0,4411985,22.502303067,"{null=Stats{count=21230692, mean=10.87135648005987, populationStandardDeviation=7.478395296905507, min=0.0, max=400.0}}",2.3080642105035523E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,26,"Query{rect=(-74.00064..-73.97734),(40.72739..40.74487), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,29156,25144,6996,6658,0,4854346,23.796253678,"{null=Stats{count=22173997, mean=10.787045063660749, populationStandardDeviation=7.5495458445330375, min=0.0, max=400.0}}",2.3919190488047826E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,27,"Query{rect=(-74.00064..-73.97734),(40.725643..40.743122), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,29928,25723,7799,7306,0,1831005,13.542680268,"{null=Stats{count=21230692, mean=10.871356480061385, populationStandardDeviation=7.478395296904731, min=0.0, max=400.0}}",2.308064210503874E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,28,"Query{rect=(-74.00297..-73.97967),(40.72739..40.74487), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,31556,26944,8365,7979,0,3509855,20.072555054,"{null=Stats{count=23552655, mean=10.84413180341816, populationStandardDeviation=7.607109154232169, min=0.0, max=400.0}}",2.5540809514043573E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,29,"Query{rect=(-74.005295..-73.981995),(40.72739..40.74487), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,33072,28081,8467,8205,0,2792574,17.443784958,"{null=Stats{count=23591514, mean=10.926297035469782, populationStandardDeviation=7.660701000582138, min=0.0, max=400.0}}",2.5776788948044387E8
